PGI,PFK,FBA,TPI,Jobs,Sd
15,50,5,31.9,1.79,0
14,18,66.23,3.66,11.6,0
35,60,5,1.9,1.89,0.01
1,33,66.23,1.66,7.23,0.01
40,35,5,21.9,1.72,0.02
47.5,37.5,3.5,13.4,1.1,0.03
31,3,66.23,1.66,5.9,0.03
15.24,5.45,76.42,4.78,9.76,0.03
33.81,9.61,45.85,12.63,10.26,0.03
20,10,5,66.9,1.87,0.04
3.33,5.75,66.23,26.58,9.24,0.04
9.88,3.73,86.61,1.67,7.31,0.04
37.5,47.5,5,11.9,1.62,0.05
22.56,7.84,50.95,20.55,9.86,0.05
13.29,8.21,56.04,24.36,10.08,0.05
37.9,12.6,35.66,15.73,9.74,0.05
18.07,18.85,56.04,8.93,11.64,0.05
33,1,66.23,1.66,2.2,0.06
45,37.5,8.5,10.9,2.32,0.06
3.98,2.28,81.52,14.12,4.62,0.06
55,15,12,19.9,4.56,0.06
5.92,5.25,76.42,14.3,8.9,0.06
12.34,16.16,56.04,17.36,11.58,0.06
25,27.5,10,39.4,2.49,0.07
8,8,66.23,19.66,10.25,0.07
21.5,7.41,56.04,16.94,10.52,0.07
10,10,66.23,15.66,12.05,0.07
30.21,11.88,45.85,13.96,11.54,0.07
11.23,21.97,50.95,17.75,11.11,0.07
25,70,2,4.9,0.74,0.08
70,5,5,21.9,1.22,0.08
7.36,3.21,86.61,4.72,6.47,0.08
8.76,5.41,66.23,21.49,8.96,0.08
20.6,7.18,66.23,7.89,11.52,0.08
22.62,8.82,50.95,19.51,10.37,0.08
18.13,15.35,56.04,12.38,11.79,0.08
5.38,3.01,86.61,6.9,6.49,0.09
5.35,4.48,76.42,15.65,8.5,0.09
27.65,9.99,45.85,18.4,10.05,0.09
22.5,30,8.5,40.9,2.34,0.1
4.23,2.62,76.42,18.62,5.46,0.1
25,50,20,6.9,6.64,0.1
8.44,9.53,66.23,17.69,11.22,0.1
6,18,66.23,11.66,9.31,0.1
9.06,16.44,56.04,20.35,11.49,0.1
16.4,17.41,50.95,17.14,11.75,0.1
4.66,4.03,81.52,11.69,7.71,0.34
8.62,3.47,86.61,3.19,7.25,0.11
4.56,4.53,71.33,21.48,7.92,0.11
15,65,20,1.9,6.69,0.11
39.32,12.38,25.47,24.71,8.46,0.11
24.36,7.48,56.04,14.01,9.73,0.11
40,45,7,9.9,2.07,0.12
3.81,2.71,81.52,13.85,6.12,0.12
3.72,1.95,86.61,9.61,3.99,0.13
9.4,2.58,86.61,3.31,5.05,0.13
28.1,8.42,50.95,14.43,9.77,0.13
5.08,15.5,71.33,9.99,12.28,0.13
7.06,14.74,76.42,3.67,12.23,0.13
23.34,7.8,56.04,14.72,11.63,0.14
25,9,66.23,1.66,10.9,0.14
32.45,28.74,35.66,5.03,9.68,0.14
13,13,66.23,9.66,11.9,0.14
25,50,12,14.9,4.18,0.22
6.4,2.69,86.61,6.19,6.11,0.15
17.75,4.96,66.23,12.95,8.36,0.15
30,25,26,20.9,7.62,0.15
11.51,13.37,66.23,10.79,12.63,0.15
5.26,11.19,71.33,14.12,11.03,0.16
6.79,20.43,56.04,18.63,11.55,0.16
11.17,25.48,50.95,14.3,11.01,0.16
11.04,15.68,61.14,14.03,12.47,0.17
23.65,7.59,61.14,9.52,9.72,0.18
33.82,18.87,35.66,13.55,9.5,0.18
4.75,2.63,81.52,13,5.13,0.19
11.15,8.5,61.14,21.11,10.82,0.19
19.12,16.02,56.04,10.71,10.71,0.19
35,32.5,8.5,25.9,2.39,0.21
4,25,66.23,6.66,12.65,0.21
7,12,66.23,16.66,12.35,0.21
12,13,66.23,10.66,11.45,0.49
16,16,66.23,3.66,11.85,0.21
45,40,12,4.9,4.18,0.15
29.71,6.62,56.04,9.53,9.39,0.22
12.2,27.64,35.66,26.39,11.19,0.22
15.66,23.52,45.85,16.86,12.15,0.22
15.55,30.53,45.85,9.96,10.4,0.22
51.97,14.22,25.47,10.23,8.45,0.23
8.31,6.98,61.14,25.47,10.74,0.23
9.64,16.24,66.23,9.79,11.56,0.23
3.4,2.81,86.61,9.08,6.92,0.24
9.01,8.8,66.23,17.85,11.39,0.24
12,20.03,56.04,13.82,10.79,0.24
23.46,10.7,50.95,16.79,11.08,0.25
10,20,15,56.9,5.15,0.26
9.9,28.14,56.04,7.82,10.95,0.26
19,7,66.23,9.66,10.11,0.27
22.35,16.51,45.85,17.18,9.8,0.27
5.79,3.3,76.42,16.38,6.38,0.29
16,7,66.23,12.66,10.1,0.29
10.61,18.22,50.95,22.12,11.57,0.29
19.19,17,56.04,9.67,11.05,0.29
18.35,27.25,50.95,5.35,10.55,0.29
4.24,25.75,66.23,5.67,11.7,0.3
24.06,26.13,40.76,10.95,10.88,0.3
45.65,13.3,25.47,17.47,7.65,0.32
20,45,32.5,4.4,8.28,0.33
6.37,4.17,76.42,14.94,7.71,0.11
11.5,25,47.5,17.9,10.11,0.34
18.53,4.91,71.33,7.12,9.08,0.35
3,45,50,3.9,10.5,0.35
6.82,14.17,76.42,4.49,11.33,0.38
20.45,19.14,50.95,11.36,10.56,0.42
28,6,66.23,1.66,9.35,0.46
10,15,66.23,10.66,11.45,0.21
15,15,55,16.9,12.9,0.53
40,10,40,11.9,9.7,0.55
55,7.5,22.5,16.9,4.53,0.65
20,42.5,28.5,10.9,7.57,0.65
15,40,45,1.9,12.07,0.81
22,12,66.23,1.66,10.8,NA
